exercise_id	code	name	image_url	muscle_group	pattern	primary_tool	secondary_tool	location	complexity	level	fatigue	goals	category	compat	caution	forbidden	target_muscles	secondary_muscles
exr_41n2hadQgEEX8wDN	TRI031	Triceps Dip	https://cdn.exercisedb.dev/media/w/images/MruSDlnk0M.jpg	Tríceps	Extensión de Codo	Paralelas	Propio Peso	Gimnasio, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	TRICEPS BRACHII	PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD, ANTERIOR DELTOID, LATISSIMUS DORSI, LEVATOR SCAPULAE
exr_41n2haNJ3NA8yCE2	PEC046	Dumbbell Incline One Arm Hammer Press	https://cdn.exercisedb.dev/media/w/images/qkXo99D6UI.jpg	Pecho	Empuje Inclinado	Mancuernas	Banco	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, PG	Complementario	ENF002, ENF003	PAT004, PAT005, MUN	Ninguna	RECTUS ABDOMINIS	TERES MAJOR, PECTORALIS MAJOR CLAVICULAR HEAD, TRAPEZIUS MIDDLE FIBERS
exr_41n2hdHtZrMPkcqY	TRI032	Dumbbell Lying Floor Skull Crusher	https://cdn.exercisedb.dev/media/w/images/LqKaE2JobC.jpg	Tríceps	Extensión de Codo	Mancuernas	Ninguna	Casa, Gimnasio	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	MUN, PAT005	Ninguna	TRICEPS BRACHII
exr_41n2hek6i3exMARx	BIC037	Elbow - Flexion - Articulations	https://cdn.exercisedb.dev/media/w/images/vIYXc6qul1.jpg	Bíceps	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	BRACHIALIS, TRICEPS BRACHII, BICEPS BRACHII	TRAPEZIUS MIDDLE FIBERS, ADDUCTOR MAGNUS
exr_41n2hHH9bNfi98YU	TRI033	Triceps Dips Floor	https://cdn.exercisedb.dev/media/w/images/mc56eseHDh.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Media	PG, SB, GMM	Aislamiento	ENF001, ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII	LEVATOR SCAPULAE, ANTERIOR DELTOID, PECTORALIS MAJOR STERNAL HEAD, LATISSIMUS DORSI, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hLA8xydD4dzE	TRI034	Triceps Press	https://cdn.exercisedb.dev/media/w/images/Ocsii6p15A.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT004, MUN	Ninguna	TRICEPS BRACHII	PECTORALIS MAJOR STERNAL HEAD
exr_41n2hmhxk35fbHbC	TRI035	Push-up on Forearms	https://cdn.exercisedb.dev/media/w/images/n3c6WKyggU.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII	PECTORALIS MAJOR STERNAL HEAD, ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hnbt5GwwY7gr	TRI036	Diamond Push up (Upper Arms)	https://cdn.exercisedb.dev/media/w/images/dK9YEfnDTi.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre	Media	Intermedio	Media-Alta	GMM, PG	Principal	ENF002, ENF003	PAT004, MUN	ENF010	RECTUS ABDOMINIS	ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hndkoGHD1ogh	TRI037	Triceps Dip (Bench)	https://cdn.exercisedb.dev/media/w/images/MDpZM9TtVE.jpg	Tríceps	Extensión de Codo	Banco	Propio Peso	Gimnasio, Casa, Aire Libre	Media	Intermedio	Media-Alta	GMM, RD, PG	Principal	ENF002, ENF003	PAT004, PAT005	Ninguna	TRICEPS BRACHII	ANTERIOR DELTOID, PECTORALIS MAJOR STERNAL HEAD, LATISSIMUS DORSI, LEVATOR SCAPULAE, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hoFGGwZDNFT1	TRI038	Bench dip on floor	https://cdn.exercisedb.dev/media/w/images/6fVd7Ky8BX.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Media	PG, SB, GMM	Aislamiento	ENF001, ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII	LEVATOR SCAPULAE, PECTORALIS MAJOR STERNAL HEAD, ANTERIOR DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD, LATISSIMUS DORSI
exr_41n2hoifHqpb7WK9	ESP049	Supination Bar Suspension Stretch	https://cdn.exercisedb.dev/media/w/images/frvDHFYCab.jpg	Espalda	Estabilización	Barra	Propio Peso	Gimnasio, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003	PAT004	Ninguna	LATISSIMUS DORSI	TERES MAJOR, SUBSCAPULARIS
exr_41n2hPgRbN1KtJuD	TRI039	Close-grip Push-up	https://cdn.exercisedb.dev/media/w/images/bJE2dLg62R.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	GMM, PG	Principal	ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII	PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD, ANTERIOR DELTOID
exr_41n2hqw5LsDpeE2i	BIC038	Elbow Flexor Stretch	https://cdn.exercisedb.dev/media/w/images/SXpaJB2P09.jpg	Bíceps	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	BRACHIALIS	BICEPS BRACHII
exr_41n2hRZ6fgsLyd77	TRI040	Diamond Push-up	https://cdn.exercisedb.dev/media/w/images/GQfzn89uwq.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	GMM, PG	Principal	ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII	PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD, ANTERIOR DELTOID
exr_41n2hU3XPwUFSpkC	COR034	L-Sit on Floor	https://cdn.exercisedb.dev/media/w/images/KZPZTyNqWB.jpg	Core	Core Anterior	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Alta	Avanzado	Alta	GMM, RD	Principal	ENF002	PAT001, PAT004, MUN	PAT002	GRACILIS, ILIOPSOAS, TRAPEZIUS UPPER FIBERS, TRAPEZIUS LOWER FIBERS	SARTORIUS, TERES MAJOR, RECTUS ABDOMINIS
exr_41n2hUKc7JPrtJQj	TRI041	Dip on Floor with Chair	https://cdn.exercisedb.dev/media/w/images/nuTgT7bqfw.jpg	Tríceps	Extensión de Codo	Sillas	Propio Peso	Casa	Baja-Media	Básico	Media	PG, SB, GMM	Aislamiento	ENF001, ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII, PECTORALIS MAJOR STERNAL HEAD	LATISSIMUS DORSI, ANTERIOR DELTOID, LEVATOR SCAPULAE
exr_41n2hW9gDXAJJMmH	PIE035	Downward Facing Dog	https://cdn.exercisedb.dev/media/w/images/GpSc5Fff18.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	GLUTEUS MAXIMUS, SOLEUS	ERECTOR SPINAE, DEEP HIP EXTERNAL ROTATORS
exr_41n2hy8pKXtzuBh8	COR035	Elbow Up and Down Dynamic Plank	https://cdn.exercisedb.dev/media/w/images/3tZIhVrazy.jpg	Core	Anti-Rotación	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	PG, SB, RD	Metabólico	ENF001, ENF002, ENF003, ENF009	PAT004, MUN	ENF010	RECTUS ABDOMINIS, SOLEUS	SERRATUS ANTERIOR, DEEP HIP EXTERNAL ROTATORS
exr_41n2hZ7uoN5JnUJY	PEC047	Dumbbell Decline One Arm Hammer Press	https://cdn.exercisedb.dev/media/w/images/hxFWa9nXih.jpg	Pecho	Empuje Declinado	Mancuernas	Banco	Gimnasio	Media	Intermedio	Media-Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT005, MUN	ENF010	PECTORALIS MAJOR STERNAL HEAD	TRICEPS BRACHII, PECTORALIS MAJOR CLAVICULAR HEAD, ANTERIOR DELTOID
exr_41n2hezAZ6CdkAcM	HOM040	Alternate Punching	https://cdn.exercisedb.dev/media/w/images/5XjzsH1SBh.jpg	Hombro	Rotacional	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Media	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	DEEP HIP EXTERNAL ROTATORS, LATISSIMUS DORSI, BRACHIALIS	SERRATUS ANTERIOR, ANTERIOR DELTOID, RECTUS ABDOMINIS
exr_41n2hJ5Harig7K7F	HOM041	Seated Shoulder Flexor Depresor Retractor Stretch	https://cdn.exercisedb.dev/media/w/images/FIQG6bbnXn.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	ANTERIOR DELTOID	LATISSIMUS DORSI, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hjuGpcex14w7	HOM042	Lateral Raise	https://cdn.exercisedb.dev/media/w/images/qODXfaAVcz.jpg	Hombro	Abducción Hombro	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT004, PAT001	PAT002	LATERAL DELTOID	SERRATUS ANTERIOR, ANTERIOR DELTOID
exr_41n2hmbfYcYtedgz	PIE036	Bridge Pose Setu Bandhasana	https://cdn.exercisedb.dev/media/w/images/IzBYapPSlM.jpg	Pierna	Extensión Cadera	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Baja	SB, PG	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	GLUTEUS MAXIMUS, GRACILIS	QUADRICEPS, ERECTOR SPINAE, GASTROCNEMIUS
exr_41n2hMRXm49mM62z	HOM043	Arnold Press	https://cdn.exercisedb.dev/media/w/images/L0IHjzfG7P.jpg	Hombro	Empuje Vertical	Mancuernas	Banco	Gimnasio, Casa	Media-Alta	Intermedio	Media-Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, PAT001	PAT002	ANTERIOR DELTOID	TRICEPS BRACHII, LATERAL DELTOID, SERRATUS ANTERIOR
exr_41n2howQHvcrcrW6	HOM044	Front Raise	https://cdn.exercisedb.dev/media/w/images/7ap5Us3CPK.jpg	Hombro	Flexión Hombro	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT004, PAT001	PAT002	ANTERIOR DELTOID	SERRATUS ANTERIOR, LATERAL DELTOID, PECTORALIS MAJOR CLAVICULAR HEAD
exr_41n2hS5UrMusVCEE	HOM045	Lateral Raise with Towel	https://cdn.exercisedb.dev/media/w/images/22Tt0d6ekf.jpg	Hombro	Abducción Hombro	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	SB, PG	Correctivo	ENF001, ENF002, ENF003	PAT004	Ninguna	LATERAL DELTOID	ANTERIOR DELTOID, SERRATUS ANTERIOR
exr_41n2hTkfLWpc57BQ	TRI042	Body-Up	https://cdn.exercisedb.dev/media/w/images/wOyxNsN3Px.jpg	Tríceps	Extensión de Codo	Propio Peso	Ninguna	Casa, Aire Libre	Media-Alta	Intermedio	Alta	GMM, RD	Principal	ENF002, ENF003	PAT004, MUN	ENF010	TRICEPS BRACHII	PECTORALIS MAJOR CLAVICULAR HEAD, PECTORALIS MAJOR STERNAL HEAD, ANTERIOR DELTOID
exr_41n2hushK9NGVfyK	HOM046	Handstand Push-Up	https://cdn.exercisedb.dev/media/w/images/qzcFGKedZz.jpg	Hombro	Empuje Vertical	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Alta	Avanzado	Alta	GMM, RD	Principal	ENF002	PAT004, PAT001, PAT011, MUN	PAT002, ENF010, PAT014	TRICEPS BRACHII	LATERAL DELTOID, TERES MAJOR, PECTORALIS MAJOR STERNAL HEAD, PECTORALIS MAJOR CLAVICULAR HEAD, SERRATUS ANTERIOR, ANTERIOR DELTOID
exr_41n2hWQVZanCB1d7	HOM047	Circles Arm	https://cdn.exercisedb.dev/media/w/images/TrP6PnRn1m.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	LATERAL DELTOID, ANTERIOR DELTOID, POSTERIOR DELTOID
exr_41n2hyNf5GebszTf	HOM048	Dumbbell Rear Delt Fly	https://cdn.exercisedb.dev/media/w/images/6Ak3e2G7EC.jpg	Hombro	Abducción Horizontal	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT004, PAT001	PAT002	POSTERIOR DELTOID	INFRASPINATUS, TRAPEZIUS LOWER FIBERS, TRAPEZIUS MIDDLE FIBERS, TERES MINOR, LATERAL DELTOID
exr_41n2hZqkvM55qJve	HOM049	Shoulder Stretch Behind the Back	https://cdn.exercisedb.dev/media/w/images/wlBqBIBrCS.jpg	Hombro	Estabilidad Escapular	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT004	Ninguna	POSTERIOR DELTOID	TRAPEZIUS LOWER FIBERS, TERES MAJOR, LATISSIMUS DORSI, TRICEPS BRACHII, INFRASPINATUS, TERES MINOR, TRAPEZIUS MIDDLE FIBERS
exr_41n2hbdZww1thMKz	PIE037	Jump Squat	https://cdn.exercisedb.dev/media/w/images/YfCTLiECo2.jpg	Pierna	Pliometría	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media-Alta	Intermedio	Alta	RD, PG, GMM	Potencia	ENF002	PAT007, PAT008, PAT001, PAT011	PAT009, PAT002, PAT014	GLUTEUS MAXIMUS, QUADRICEPS	SOLEUS, ADDUCTOR MAGNUS
exr_41n2hGNrmUnF58Yy	PIE038	Reverse Lunge	https://cdn.exercisedb.dev/media/w/images/XUs62RE49n.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media	PG, GMM	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	QUADRICEPS, GLUTEUS MAXIMUS	HAMSTRINGS, ADDUCTOR MAGNUS
exr_41n2hHRszDHarrxK	PIE039	Split Squats	https://cdn.exercisedb.dev/media/w/images/GGahn2Bwpi.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media	PG, GMM	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	GLUTEUS MAXIMUS, QUADRICEPS	SOLEUS, ADDUCTOR MAGNUS
exr_41n2hKiaWSZQTqgE	PIE040	Lever stepper	https://cdn.exercisedb.dev/media/w/images/oA2FarJMAw.jpg	Pierna	Locomoción	Máquina	Propio Peso	Gimnasio	Baja-Media	Básico	Media	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GLUTEUS MAXIMUS, QUADRICEPS	GASTROCNEMIUS, SOLEUS, HAMSTRINGS
exr_41n2hmFcGGUCS289	PIE041	Walking High Knees Lunge	https://cdn.exercisedb.dev/media/w/images/ZxaRouBw7h.jpg	Pierna	Locomoción	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media-Alta	Intermedio	Alta	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	TENSOR FASCIAE LATAE, SPLENIUS, RECTUS ABDOMINIS, QUADRICEPS	HAMSTRINGS, BICEPS BRACHII, GRACILIS, SARTORIUS
exr_41n2hmGR8WuVfe1U	PIE042	Bodyweight Squat	https://cdn.exercisedb.dev/media/w/images/QBL8IYGdYK.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Media	PG, GMM, SB	Principal	ENF001, ENF002, ENF003, ENF009	PAT007, PAT008	PAT009	QUADRICEPS, GLUTEUS MAXIMUS	ADDUCTOR MAGNUS, SOLEUS
exr_41n2hNjcmNgtPJ1H	PIE043	Bodyweight Rear Lunge	https://cdn.exercisedb.dev/media/w/images/SmhYqZUV9x.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media	PG, GMM	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	QUADRICEPS, GLUTEUS MAXIMUS	ADDUCTOR MAGNUS, SOLEUS
exr_41n2homrPqqs8coG	PIE044	Stair Up	https://cdn.exercisedb.dev/media/w/images/N0lIgwPUgz.jpg	Pierna	Locomoción	Escaleras / Banco	Propio Peso	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Media	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	QUADRICEPS, GLUTEUS MAXIMUS	ADDUCTOR MAGNUS, SOLEUS
exr_41n2hpLLs1uU5atr	PIE045	Bulgarian Split Squat	https://cdn.exercisedb.dev/media/w/images/HLm5e1fMdO.jpg	Pierna	Dominante Rodilla	Banco	Propio Peso	Casa, Gimnasio	Media-Alta	Intermedio	Alta	GMM, PG, RD	Principal	ENF002, ENF003	PAT007, PAT008	PAT009	GLUTEUS MAXIMUS, QUADRICEPS	ADDUCTOR MAGNUS, SOLEUS
exr_41n2hQHmRSoUkk9F	PIE046	Walking Lunge	https://cdn.exercisedb.dev/media/w/images/g2s9vxBfWN.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media-Alta	PG, GMM, RD	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	GLUTEUS MAXIMUS, QUADRICEPS	ADDUCTOR MAGNUS, SOLEUS
exr_41n2hRaLxY7YfNbg	PIE047	Side Lunge Stretch	https://cdn.exercisedb.dev/media/w/images/b3R4TvyD30.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GLUTEUS MAXIMUS, QUADRICEPS	TENSOR FASCIAE LATAE, SOLEUS, ADDUCTOR MAGNUS, GLUTEUS MEDIUS
exr_41n2hUVNhvcS73Dt	PIE048	Jump Split	https://cdn.exercisedb.dev/media/w/images/6nX5znelOT.jpg	Pierna	Pliometría	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Alta	Avanzado	Alta	RD, PG	Potencia	ENF002	PAT007, PAT008, PAT011	PAT009, PAT002, PAT014	QUADRICEPS, HAMSTRINGS	SARTORIUS, GRACILIS, ADDUCTOR BREVIS, ADDUCTOR MAGNUS
exr_41n2hvjrFJ2KjzGm	PIE049	Sit to Stand	https://cdn.exercisedb.dev/media/w/images/QjeHnOqQNh.jpg	Pierna	Dominante Rodilla	Sillas	Propio Peso	Casa	Baja	Básico	Baja-Media	SB, PG	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GLUTEUS MAXIMUS, QUADRICEPS	ADDUCTOR MAGNUS, SOLEUS
exr_41n2hw8nSYiaCXW1	PIE050	Sissy Squat	https://cdn.exercisedb.dev/media/w/images/PMGm7JcwbQ.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Gimnasio	Alta	Avanzado	Alta	GMM, RD	Aislamiento	ENF002, ENF003	PAT007,  PAT008	PAT009	QUADRICEPS
exr_41n2hXvPyEyMBgNR	PIE051	Step-up on Chair	https://cdn.exercisedb.dev/media/w/images/j89aek3mZu.jpg	Pierna	Dominante Rodilla	Sillas	Propio Peso	Casa	Media	Intermedio	Media	PG, GMM, SB	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	QUADRICEPS, GLUTEUS MAXIMUS	ADDUCTOR MAGNUS, GASTROCNEMIUS, SOLEUS
exr_41n2hYAP9oGEZk2P	PIE052	Sumo Squat	https://cdn.exercisedb.dev/media/w/images/clrq0UgFbo.jpg	Pierna	Dominante Rodilla	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media	Intermedio	Media	PG, GMM	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	GLUTEUS MAXIMUS, QUADRICEPS	GASTROCNEMIUS, ADDUCTOR BREVIS, SOLEUS, ADDUCTOR MAGNUS, ADDUCTOR LONGUS, GRACILIS
exr_41n2hGRSg9WCoTYT	PIE053	Jumping Pistol Squat	https://cdn.exercisedb.dev/media/w/images/ik43Xn15Kb.jpg	Pierna	Pliometría	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Alta	Avanzado	Alta	RD, GMM	Potencia	ENF002	PAT007, PAT008, PAT001, PAT011	PAT009, PAT002, PAT014	QUADRICEPS	GLUTEUS MEDIUS, ILIOPSOAS, HAMSTRINGS, ADDUCTOR BREVIS, GRACILIS, GLUTEUS MAXIMUS, BICEPS BRACHII
exr_41n2hnFD2bT6sruf	PIE054	Sliding Floor Bridge Curl on Towel	https://cdn.exercisedb.dev/media/w/images/f1c1Qr2316.jpg	Pierna	Flexión Rodilla	Toalla	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB	Aislamiento	ENF001, ENF002, ENF003	PAT007	Ninguna	GLUTEUS MAXIMUS, HAMSTRINGS, RECTUS ABDOMINIS
exr_41n2hnougzKKhhqu	PIE055	Butterfly Yoga Pose	https://cdn.exercisedb.dev/media/w/images/onjy3jQNg6.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SARTORIUS, BRACHIALIS	PECTINEUS, BICEPS BRACHII, ADDUCTOR LONGUS, ADDUCTOR BREVIS, ADDUCTOR MAGNUS
exr_41n2hPvwqp7Pwvks	PIE056	Seated Single Leg Hamstring Stretch	https://cdn.exercisedb.dev/media/w/images/YdXpEDZsr4.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	HAMSTRINGS
exr_41n2hQDiSwTZXM4F	PIE057	Goblet Squat	https://cdn.exercisedb.dev/media/w/images/lwT5fwjbAU.jpg	Pierna	Dominante Rodilla	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, PG, RD	Principal	ENF002, ENF003	PAT007, PAT008, PAT001	PAT009, PAT002	QUADRICEPS, HAMSTRINGS, GLUTEUS MAXIMUS	ERECTOR SPINAE, ADDUCTOR MAGNUS, GASTROCNEMIUS
exr_41n2hQp1pR7heQq9	PIE058	Dumbbell Stiff Leg Deadlift (Thighs)	https://cdn.exercisedb.dev/media/w/images/4TFtrlbBxS.jpg	Pierna	Dominante Cadera	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media-Alta	GMM, RD	Principal	ENF002, ENF003	PAT001, PAT007	PAT002	GLUTEUS MAXIMUS, ERECTOR SPINAE	HAMSTRINGS
exr_41n2hrHSqBnVWRRB	PIE059	Bodyweight Single Leg Deadlift	https://cdn.exercisedb.dev/media/w/images/VeFtV3UOHd.jpg	Pierna	Dominante Cadera Unilateral	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Media-Alta	Intermedio	Media-Alta	PG, GMM, SB	Principal	ENF001, ENF002, ENF003	PAT001, PAT007	PAT002	GLUTEUS MAXIMUS	SOLEUS, ADDUCTOR MAGNUS, ERECTOR SPINAE, HAMSTRINGS, QUADRICEPS
exr_41n2hSMjcavNjk3c	PIE060	Quick Feet	https://cdn.exercisedb.dev/media/w/images/lbL11yEndU.jpg	Pierna	Agilidad	Propio Peso	Ninguna	Casa, Aire Libre, Gimnasio	Baja-Media	Básico	Media	PG, RD, SB	Metabólico	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GLUTEUS MAXIMUS	BRACHIORADIALIS, ADDUCTOR MAGNUS
exr_41n2hsSnmS946i2k	PIE061	Single Leg Squat with Support	https://cdn.exercisedb.dev/media/w/images/cxJSiiWh9N.jpg	Pierna	Dominante Rodilla	Sillas	Propio Peso	Casa	Media	Intermedio	Media	PG, GMM, SB	Principal	ENF001, ENF002, ENF003	PAT007, PAT008	PAT009	QUADRICEPS	INFRASPINATUS, TENSOR FASCIAE LATAE, STERNOCLEIDOMASTOID
exr_41n2havo95Y2QpkW	PIE062	Feet and Ankles Stretch	https://cdn.exercisedb.dev/media/w/images/AwDLoYPc84.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS, TIBIALIS ANTERIOR
exr_41n2hbLX4XH8xgN7	PIE063	Dumbbell Single Leg Calf Raise	https://cdn.exercisedb.dev/media/w/images/bAEQLWIqH4.jpg	Pierna	Flexión Plantar	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hcm5HH6H684G	PIE064	Calf Raise from Deficit with Chair Supported	https://cdn.exercisedb.dev/media/w/images/po63VThsX2.jpg	Pierna	Flexión Plantar	Sillas	Propio Peso	Casa	Baja-Media	Básico	Baja-Media	PG, SB, GMM	Aislamiento	ENF001, ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hdWu3oaCGdWT	PIE065	Standing Calf Raise	https://cdn.exercisedb.dev/media/w/images/RfXMrjCG6o.jpg	Pierna	Flexión Plantar	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2he2doZNpmXkX	PIE066	Ankle - Plantar Flexion - Articulations	https://cdn.exercisedb.dev/media/w/images/cnT7tKYHyl.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS	GLUTEUS MAXIMUS, TERES MAJOR
exr_41n2hG9pRT55cGVk	PIE067	Calves stretch	https://cdn.exercisedb.dev/media/w/images/UnJNN2dVOJ.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS, GASTROCNEMIUS
exr_41n2hGD4omjWVnbS	PIE068	Calves Stretch II	https://cdn.exercisedb.dev/media/w/images/b2DBiTv92c.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	GASTROCNEMIUS
